Date,Open,High,Low,Last,Close
30-04-2020,85.95,93.75,85.95,93.75,93.25
04-05-2020,87,87.2,81.5,84.05,83.9
05-05-2020,86,86.8,80.4,81,80.9
06-05-2020,81.55,83.95,80.35,83.7,83.2
07-05-2020,82.9,84.65,82.1,82.55,82.5
08-05-2020,84.5,84.95,80.55,81.2,81.05
11-05-2020,81.45,90.65,81.4,85.85,86.1
12-05-2020,85.95,87.7,83.5,86.45,86.2
13-05-2020,92.5,92.5,86.25,88,87.2
14-05-2020,83.95,85.3,82.55,83.9,83.8
15-05-2020,84.7,85.35,82.8,84.15,84.35
18-05-2020,84.5,84.5,79.6,80.9,80.65
19-05-2020,82.5,85.65,81.5,82.3,81.8
20-05-2020,81.25,84.4,80.7,83.65,83.45
21-05-2020,83.1,85.2,82.9,83.95,84.1
22-05-2020,83.4,83.9,82,83.05,82.8
26-05-2020,83.9,85.7,82.6,83.25,83.1
27-05-2020,84.1,86,84,84.7,84.55
28-05-2020,86,88.15,84.55,87.15,87
29-05-2020,85.55,87.5,84.65,86.7,87
01-06-2020,88.9,91.2,88,89.6,89.55
02-06-2020,90,97.3,89.75,96.15,96.5
03-06-2020,100,101.45,97.4,98.5,98.75
04-06-2020,99,101.4,96.8,98.75,98.5
05-06-2020,100.45,112.45,99.05,111.95,110.75
08-06-2020,114,119.15,113.35,115.65,115.45
09-06-2020,117.45,117.9,110.25,111.25,111.45
10-06-2020,111,113,108.5,112.2,111.4
11-06-2020,109.9,111.15,105,106.1,106.15
12-06-2020,98,106.25,98,104.75,105.3
15-06-2020,104.65,104.65,100.05,100.65,100.5
16-06-2020,102,103.5,92,94.6,94.75
17-06-2020,93,96.4,91.8,95.35,95.4
18-06-2020,95,97.2,94.15,96.5,96.35
19-06-2020,96.5,103.9,95.6,101.9,102.5
22-06-2020,102.35,104.9,101,102.55,102.65
23-06-2020,103,106,101.9,104.4,104.4
24-06-2020,105.25,110.8,104.2,105.15,104.8
25-06-2020,103.85,106.3,101.65,104,103.8
26-06-2020,105.4,106.05,100.35,102,101.4
29-06-2020,101.4,101.4,98.05,99.7,99.45
30-06-2020,101.75,102.3,97.3,98.75,98.25
01-07-2020,99,101.45,98.2,100.5,100.75
02-07-2020,100.75,102.95,100.4,101.65,101.55
03-07-2020,102.85,106.35,102.1,103.4,103.45
06-07-2020,105,109.9,104.5,109,109
07-07-2020,109.8,112.6,108.05,108.95,109.05
08-07-2020,109.5,110.85,104.2,105.6,105.35
09-07-2020,106.3,108.95,104.65,107.4,106.95
10-07-2020,106.7,108.6,105.4,107.25,107.6
13-07-2020,108.85,112.1,106.85,108.3,108
14-07-2020,106.9,107.55,104.1,105.2,105.15
15-07-2020,106.8,106.8,102.5,103.45,103.2
16-07-2020,103.95,103.95,100.6,102.95,102.95
17-07-2020,103.65,106.95,103.3,106.35,106.4
20-07-2020,106.35,106.35,103.85,104.95,105.05
21-07-2020,106,109.7,105.5,108.15,108.45
22-07-2020,108.5,109.75,104.25,105.45,105.15
23-07-2020,105.45,106.45,104.7,106,106.05
24-07-2020,104.7,105.5,102.7,103.65,103.75
27-07-2020,104,104.5,101.3,101.9,101.7
28-07-2020,102.3,107.2,102,106.2,106.45
29-07-2020,108.1,108.75,104.85,105.7,105.75
30-07-2020,106.4,106.75,102.85,103.25,103.65
31-07-2020,104,105.4,102.3,105.05,104.65
03-08-2020,103,114.4,102.9,111.7,113.05
04-08-2020,112.95,115.1,110.8,111.15,111.45
05-08-2020,112.4,117.65,112,115.55,115.4
06-08-2020,116.2,117.7,115.5,117.15,116.8
07-08-2020,117,119.7,116,118.9,119.1
10-08-2020,119.95,124.7,119.7,123.35,123.85
11-08-2020,125,125.8,121.4,122.55,122.3
12-08-2020,121,126.4,120.6,125,125.35
13-08-2020,126.1,131.9,124.4,131.1,131.15
14-08-2020,131.15,132.65,123.7,124.85,124.6
17-08-2020,124.5,126.25,120.6,123.7,123.55
18-08-2020,124,127.5,123.6,125.55,125.6
19-08-2020,127,127.6,124.75,125.3,125.15
20-08-2020,123.45,125.65,121.1,121.85,121.7
21-08-2020,124.2,124.2,120.15,121.25,120.9
24-08-2020,122,123,120.8,121.1,121.2
25-08-2020,121.8,128.35,121.1,127.65,127.1
26-08-2020,130.5,139,128.35,138.4,137.9
27-08-2020,140.1,146.85,139.3,143.6,144.25
28-08-2020,144.15,146.2,140.5,142.75,142.8
31-08-2020,144.5,147.95,138.2,142.1,143.2
01-09-2020,143.4,145.15,140.4,144,143.8
02-09-2020,144.3,151.65,141.45,151.5,150.3
03-09-2020,151.6,155.2,149.55,151.45,151.85
04-09-2020,147.9,153.65,147,147.6,147.8
07-09-2020,150,152,148,149,149.4
08-09-2020,149.45,149.6,141.2,142.35,142.3
09-09-2020,141,141.75,135.7,140.65,140.1
10-09-2020,142.8,144.5,138,143.1,143.3
11-09-2020,143.1,146.8,141.65,143.65,144.3
14-09-2020,147.2,151.1,145.5,147.15,148.55
15-09-2020,149.4,149.4,146.55,148.9,148.4
16-09-2020,149.2,154.3,148.55,151,151.45
17-09-2020,150.8,151,146.2,147.75,147.65
